loan_amount,person_income,credit_score,debt_to_income_ratio,employment_length,previous_defaults,default
22901,40972,591,0.0902,6,0,0
21053,41509,610,0.1005,5,0,0
590178,74940,651,0.3235,3,0,1
6231,11981,642,0.3755,3,0,0
4591,10000,532,0.5493,5,0,0
6202,10859,544,0.1905,13,0,1
123393,54365,577,0.2261,2,0,0
5034,35352,699,0.3615,3,0,0
2375,10000,590,0.5817,6,1,1
12834,25989,619,0.3825,3,0,0
14035,15704,609,0.5537,3,0,0
7364,10000,597,0.4044,5,0,0
4255,31440,568,0.2973,4,0,0
7149,10000,533,0.0596,2,0,0
1692,10000,606,0.2724,2,0,0
1045,36497,629,0.1108,5,2,0
25562,19854,661,0.5096,2,0,0
1935,10000,544,0.5159,8,0,0
11957,42491,581,0.2779,5,0,0
4386,48151,510,0.327,6,0,0
3092,10000,571,0.0477,6,0,0
3829,29363,646,0.3421,9,0,0
12953,25191,628,0.1372,2,0,0
21458,41920,617,0.362,7,0,0
13115,17392,657,0.416,2,0,0
371,10000,625,0.1151,2,0,0
13715,75794,595,0.3258,3,0,0
1407,10000,645,0.2618,9,0,0
963,13210,643,0.1037,4,0,0
6726,10000,582,0.3784,6,0,0
36516,10000,543,0.5461,2,0,1
18879,10000,622,0.3759,3,0,0
6851,38726,594,0.2416,7,0,0
7907,13893,662,0.1509,1,0,0
2956,15366,632,0.0792,1,0,0
1054,10000,646,0.3384,11,0,0
3662,10000,523,0.3683,4,0,0
2689,10000,552,0.1533,5,0,0
410,10000,608,0.3792,4,0,0
220706,14683,660,0.1364,7,0,1
5599,18158,607,0.5396,3,0,0
19391,46008,661,0.221,9,3,0
49210,33755,704,0.5101,5,0,1
45247,44725,699,0.1895,4,0,0
36021,10000,594,0.1527,6,0,0
2548,14028,588,0.1709,3,0,0
1234,10000,454,0.5449,1,0,1
2848,10000,637,0.4004,4,0,0
9872,47094,748,0.31,7,0,0
3712,10000,458,0.3304,8,0,0
571,11348,596,0.4726,3,0,0
10258,11370,619,0.2763,3,0,0
810,13517,623,0.3349,1,0,0
5814,12669,553,0.4563,3,0,0
5493,20769,641,0.2921,3,0,0
28726,46654,654,0.2468,2,0,0
38589,68841,631,0.262,1,2,0
5595,10000,607,0.2739,5,0,0
3821,14793,583,0.2438,5,0,0
1101,10000,615,0.1128,6,0,0
2295,12748,614,0.5815,2,0,0
1361,10624,575,0.3608,4,0,0
12900,30079,642,0.2973,3,0,0
6722,10000,673,0.5528,1,0,0
2599,16752,617,0.5442,2,0,0
3103,10000,555,0.104,3,0,0
5473,10000,585,0.1903,4,0,0
33654,50529,586,0.5311,4,0,0
12294,28513,678,0.2002,5,0,0
4746,10000,629,0.2933,3,0,0
17561,35968,636,0.1505,7,0,0
11263,46739,621,0.5163,3,0,0
27691,39641,649,0.2082,2,0,0
163201,39458,573,0.2635,3,0,0
3612,16133,615,0.4014,4,0,0
1125,10000,659,0.641,7,0,0
93055,84273,625,0.2404,5,0,0
2693,26858,644,0.3061,4,0,0
6865,38019,638,0.2376,14,0,0
238953,49849,676,0.4171,6,1,1
4024,12392,586,0.5692,3,0,0
6629,44232,695,0.5573,4,0,0
1610,11540,602,0.3068,2,0,0
2706,15316,710,0.5069,4,1,0
2659,27094,647,0.4649,4,0,0
2052,10000,652,0.4557,3,0,0
1481,10000,564,0.1653,8,0,0
38373,67559,681,0.3988,7,0,0
1875,11118,569,0.2273,3,0,0
10832,10000,549,0.1644,6,0,0
24676,57811,699,0.1199,5,0,0
3216,10000,616,0.1107,7,0,0
23734,25642,572,0.3074,5,0,0
2603,10000,602,0.447,5,0,0
10442,10000,661,0.5884,3,0,0
16891,17055,586,0.191,5,2,1
27154,129377,700,0.3928,7,0,0
1072,10000,592,0.3152,3,0,0
5406,10000,655,0.2056,3,0,0
7195,31326,523,0.4994,1,0,0
2465,27404,722,0.3802,7,0,0
14555,10000,590,0.3143,1,0,0
21697,96253,650,0.4199,2,0,0
14651,53881,573,0.4932,2,0,0
1405,10000,577,0.2349,4,0,0
382568,10000,634,0.2159,13,0,1
3508,22640,602,0.4406,6,0,0
95990,67600,721,0.4949,16,0,0
1100,10000,618,0.2473,2,0,0
6665,34032,553,0.24,2,0,0
14635,10000,634,0.3276,3,0,0
6649,35728,610,0.4789,0,0,0
4303,13951,630,0.1784,3,1,0
2717,10000,614,0.2619,2,2,0
22883,10000,636,0.2256,5,2,1
35029,38183,548,0.3961,7,0,1
2125,10000,478,0.7702,8,0,0
8818,10590,668,0.2475,4,0,0
29026,137636,608,0.4416,3,0,0
4019,10000,631,0.2129,6,0,0
1321,10000,613,0.2199,6,0,0
4167,10000,599,0.4064,2,0,0
2096,10000,603,0.3278,3,0,0
10306,36696,597,0.5094,5,0,1
9652,10000,699,0.1743,2,1,0
217916,52406,669,0.6673,5,0,0
3563,39637,591,0.2211,10,0,0
8261,22072,629,0.2202,11,0,0
9258,11011,681,0.6308,4,0,0
2886,10000,532,0.3458,7,0,0
2734,18840,531,0.029,2,0,0
2003,10000,594,0.478,5,0,0
448,10000,618,0.263,2,1,0
3575,18785,519,0.25,1,0,0
18564,39504,673,0.5343,5,0,0
1213,40408,577,0.1074,1,0,0
2016,10000,615,0.2798,5,0,0
5288,26286,657,0.4453,8,0,0
14861,31167,624,0.3599,2,0,0
6215,10000,608,0.0965,7,0,0
984,10000,592,0.3915,3,0,0
26896,13030,618,0.3076,2,0,0
1925,10000,608,0.1428,3,0,0
3492,10000,628,0.5187,3,0,0
8245,38282,679,0.5193,3,0,0
3148,10000,630,0.2299,12,0,0
4549,41383,667,0.2952,6,0,0
9899,10000,618,0.4566,5,0,0
2087,10000,693,0.5901,4,0,0
823,10424,573,0.2329,6,0,0
342,10000,542,0.1731,7,0,0
15526,10000,582,0.2606,4,0,0
2710,10000,533,0.1011,4,0,0
1377,10000,582,0.5127,7,0,0
5527,10000,640,0.1328,4,0,0
123201,25604,668,0.1642,3,0,1
9158,10853,478,0.1287,3,0,1
1688,10000,592,0.3094,6,0,0
159,10000,565,0.4571,15,0,1
1519,10000,638,0.2159,5,0,0
4567,10000,621,0.6754,3,1,1
3798,16931,625,0.1133,7,0,0
20662,40444,630,0.3903,7,0,0
2403,16752,589,0.3301,4,0,0
2775,14930,696,0.2306,6,0,1
5813,10000,668,0.305,5,0,0
7291,18798,625,0.4715,0,0,0
20315,19264,581,0.3092,2,0,0
3186,22368,657,0.4471,5,0,0
2105,12823,625,0.2519,4,1,0
7923,30427,708,0.5676,3,0,0
83921,27609,573,0.3286,5,0,1
34182,16161,634,0.0733,4,0,1
6567,10000,545,0.6516,5,0,0
4187,15408,680,0.0997,8,0,0
8385,19104,573,0.2725,1,0,0
477,18799,625,0.4958,7,0,0
116300,41020,639,0.1814,10,0,0
430303,207370,689,0.3035,4,0,1
16196,23381,601,0.2746,2,0,0
1522,10000,635,0.2246,3,0,0
4827,10000,639,0.2613,4,0,0
23503,64379,656,0.4906,3,0,0
1248,10000,540,0.3857,8,0,0
1053,10000,508,0.1023,6,0,0
4675,10000,650,0.3609,7,0,0
15800,26594,540,0.3215,5,0,0
2222,10000,597,0.0849,1,0,0
9091,14633,679,0.5734,1,0,0
50542,11886,611,0.348,3,0,1
16032,33360,678,0.0458,4,0,0
940,10000,544,0.4194,11,1,0
5461,29977,626,0.3998,13,0,0
2884,10000,547,0.2401,8,0,0
1710,10000,516,0.1128,4,1,1
94906,20022,610,0.591,1,0,1
32395,10000,554,0.2366,14,0,1
1605,10000,615,0.2546,9,0,0
17026,66124,595,0.198,2,0,0
12128,10065,607,0.0164,8,0,0
3082,10000,565,0.5676,5,0,0
3310,26106,640,0.2595,1,0,0
3440,10000,601,0.3579,3,0,0
4743,10000,595,0.2694,7,0,0
2393,15475,632,0.1892,3,0,0
4403,10000,587,0.3705,7,0,0
4844,10000,555,0.5113,7,0,0
27341,25697,593,0.4709,3,0,0
10120,21306,529,0.342,2,0,0
51249,39693,595,0.1558,6,0,0
2449,10000,540,0.0384,6,0,0
4561,10000,602,0.2558,2,0,0
20709,18101,595,0.3963,1,0,0
2208,11686,607,0.31,15,0,0
16135,52523,620,0.3077,5,0,0
85395,16450,618,0.127,2,0,1
3094,10000,632,0.0545,3,0,0
14438,17062,634,0.0812,2,0,1
631,12008,601,0.427,4,0,0
24012,12219,626,0.4435,2,0,0
3445,11951,538,0.4744,9,0,0
4430,12567,613,0.2296,1,0,0
69879,57210,572,0.3352,1,0,0
31403,66523,627,0.1349,2,0,0
4529,20784,562,0.2275,7,0,0
4182,12383,621,0.5927,7,0,0
20629,24622,632,0.2343,2,0,0
324,10000,598,0.2658,2,0,0
10930,10744,606,0.4376,5,0,0
16777,541532,726,0.2718,3,0,0
7900,17983,593,0.1507,6,0,0
373818,23667,645,0.211,4,2,1
22290,21705,635,0.5392,5,0,1
2707,10000,635,0.1522,13,0,0
1336,10000,660,0.5447,5,0,0
13979,100042,662,0.5373,6,0,0
309567,190133,662,0.3215,3,0,1
1157,23942,719,0.4987,4,0,0
232,10813,657,0.4421,5,0,0
4063,16897,668,0.2418,5,1,0
5425,10000,545,0.1053,3,0,0
8630,14503,647,0.2322,4,0,0
3023,10015,638,0.3174,3,0,0
4493,10160,602,0.2367,3,0,0
3773,10000,564,0.361,3,0,0
9179,11597,595,0.8076,5,0,0
1290,10000,607,0.3118,7,0,0
1222,10000,648,0.1738,5,0,0
21050,41927,612,0.1635,2,0,0
3114,15303,517,0.4795,5,0,0
4565,39084,659,0.443,3,0,0
9529,10000,600,0.4609,2,0,0
10559,10000,556,0.4722,2,0,0
805,19238,661,0.1738,4,0,0
2226,10000,575,0.0349,2,0,0
6520,17144,619,0.2822,14,0,0
1856,10000,656,0.1419,8,0,0
98711,219972,680,0.3999,5,0,0
31979,28958,626,0.1649,8,1,0
5604,10000,536,0.2506,5,1,0
34121,12053,698,0.5824,6,0,1
47863,46924,656,0.2241,5,0,0
15391,11755,529,0.0974,4,0,1
20877,19898,607,0.3713,3,0,0
22763,53381,653,0.4598,5,0,0
20569,68284,538,0.1435,5,0,0
7224,36164,676,0.0354,6,0,0
23098,32568,587,0.4128,2,0,0
6177,26228,632,0.0828,4,0,0
4465,10000,558,0.3233,5,0,0
10045,20937,638,0.3967,2,0,0
191585,25675,675,0.0189,5,0,1
92994,10000,575,0.0432,1,0,1
2381,32185,625,0.3307,2,0,0
16349,34975,579,0.4216,4,0,0
3693,10000,605,0.2999,9,0,0
3811,22640,652,0.1433,5,0,0
9502,22330,591,0.1087,5,0,0
4936,16399,670,0.089,2,0,0
3246,21211,613,0.0807,3,0,1
3977,10000,616,0.3822,7,0,0
164763,17141,675,0.4223,4,0,1
9986,35872,603,0.1949,6,0,0
5205,10000,694,0.3795,3,0,0
3692,28476,575,0.637,4,0,0
1923,10000,573,0.2217,3,0,0
9061,53534,617,0.4266,5,0,0
9420,32936,572,0.1969,1,1,0
866,10000,562,0.1302,5,3,0
29480,20053,623,0.2026,3,0,1
912,10000,505,0.2728,3,0,0
6152,10000,542,0.0652,2,0,0
4188,10000,614,0.2975,4,0,0
18299,17117,584,0.4203,2,0,0
4149,10000,633,0.2382,3,0,0
1770,10000,639,0.5037,3,0,0
887,10000,647,0.5079,4,0,0
492,10000,625,0.2863,1,0,0
29223,10000,567,0.1367,3,0,1
3058,10000,536,0.4893,4,0,0
38616,34190,587,0.3878,3,0,1
50123,57366,591,0.2785,12,0,0
690,10000,519,0.1174,5,0,0
2817,11725,556,0.4244,14,0,0
8812,10759,554,0.2125,3,0,0
3018,10000,627,0.1362,3,0,0
6588,10000,584,0.5565,5,0,0
835,10000,596,0.3019,4,0,0
9412,28583,670,0.581,4,0,0
2373,10000,547,0.2387,4,0,0
3197,12279,729,0.2656,2,0,0
22176,25082,617,0.1953,17,0,0
3130,10000,579,0.1321,6,0,0
2602,17470,666,0.2829,5,0,0
9273,10000,682,0.4699,2,0,0
19617,10000,604,0.2501,6,0,0
4474,21109,502,0.2931,5,0,0
35929,27257,535,0.6385,3,0,1
6176,10000,559,0.0483,6,0,0
6068,40969,600,0.2845,5,0,0
1209,10000,626,0.1667,1,0,0
6658,25416,651,0.1702,1,0,0
2012,10000,491,0.3792,4,0,0
3212,10000,555,0.4029,1,0,0
1782,10000,554,0.264,5,0,0
11125,21751,651,0.2107,1,0,0
1439,13535,557,0.1476,3,1,0
34169,75303,721,0.1283,3,0,0
2233,12310,592,0.0915,2,0,0
163066,60683,770,0.4339,3,0,1
34988,45708,683,0.1212,3,0,0
4756,24474,684,0.1686,5,0,0
1965,16739,646,0.1879,10,0,0
5473,10000,587,0.2706,5,0,0
10746,16008,558,0.241,3,0,0
26162,55037,709,0.1943,2,0,0
1057,10000,653,0.3705,5,0,0
7493,10000,624,0.2811,1,0,0
3059,10000,613,0.0917,2,0,0
15368,13440,574,0.3568,4,0,0
69747,158432,707,0.1567,7,2,1
51692,134466,668,0.2648,7,0,0
5945,10000,589,0.2019,5,0,0
2924,10000,554,0.2111,5,0,0
1430,10000,563,0.5739,7,0,0
1809,11245,536,0.0425,7,0,0
2097,11714,600,0.6028,2,0,0
7408,13993,588,0.4565,5,0,0
26854,35028,628,0.1271,3,0,1
16920,70059,723,0.2861,5,0,0
1199,11295,591,0.2326,4,0,0
17965,18062,637,0.0127,2,0,0
586,10000,558,0.1133,10,1,0
6600,15249,574,0.1685,3,0,0
6829,20131,609,0.3311,3,0,0
232682,40317,634,0.3128,3,0,1
10784,67113,689,0.0991,4,0,0
843,13030,615,0.3979,1,0,0
23372,50497,584,0.1016,2,1,0
6911,17020,652,0.2338,3,0,0
3558,13487,621,0.1849,4,0,0
2319,10000,600,0.1188,5,0,0
4995,114353,636,0.4223,8,0,0
45590,48935,655,0.3592,15,0,0
4945,78179,581,0.2249,3,0,0
17403,32938,607,0.2396,5,0,0
65162,38218,713,0.1409,5,0,0
7721,19683,588,0.3533,7,0,0
111338,47551,705,0.2826,6,0,0
27116,38677,667,0.1545,5,0,0
6383,14843,586,0.1971,8,0,0
14959,38882,653,0.2882,2,0,0
10188,10000,594,0.4158,4,0,1
30031,27017,621,0.0724,3,0,0
37452,27633,656,0.0685,3,0,0
4305,19600,626,0.0729,4,0,0
17775,68467,586,0.1379,7,0,0
2729,24147,737,0.4955,5,0,0
61776,17244,660,0.2059,4,0,0
8076,21756,514,0.1619,3,0,0
18843,20060,639,0.288,7,0,0
3319,10000,576,0.091,7,0,0
206644,12695,505,0.1513,6,1,1
9924,24717,598,0.6004,4,0,0
8420,15290,644,0.4667,4,0,0
8216,58379,549,0.1076,2,0,0
1522,10000,585,0.3824,6,0,0
1863,10000,526,0.3285,4,0,0
32952,15195,619,0.3683,6,0,1
10531,23544,696,0.362,5,0,0
5435,10000,579,0.1248,6,0,0
70534,53004,573,0.2021,2,0,1
1363,10000,485,0.1631,2,0,0
1200,53825,699,0.0613,4,0,0
6789,10000,626,0.3762,5,0,0
12732,10233,568,0.2822,4,0,0
2267,10000,646,0.4088,3,0,0
3401,10000,596,0.3297,4,0,0
1668,15102,653,0.2727,2,0,0
4185,13054,543,0.6687,2,0,1
2501,10000,613,0.3573,6,0,0
1271,10000,653,0.0998,8,0,0
19151,10000,655,0.4197,5,0,1
1207,20719,584,0.1628,6,0,0
3811,16571,609,0.1862,7,0,0
13484,70396,672,0.4711,6,0,0
12189,11255,570,0.5004,3,0,0
1156,25583,704,0.5247,3,0,0
6728,20238,645,0.2923,5,0,0
10929,10000,647,0.168,3,0,1
1426,29376,587,0.1559,8,0,0
54673,16479,617,0.2684,3,0,1
13468,10000,582,0.4425,4,0,0
13905,12799,609,0.3838,13,0,0
24383,64226,660,0.44,2,0,0
2319,10000,557,0.2778,5,0,0
36253,24590,675,0.3608,11,0,0
2722,10000,619,0.4965,16,0,0
3642,10768,519,0.5181,4,0,1
24066,18628,580,0.1487,1,0,0
2351,13551,629,0.152,7,1,0
22132,85662,654,0.3216,2,0,0
1181,10000,625,0.0828,11,0,0
6751,13791,703,0.038,2,0,0
4505,10000,561,0.5852,4,0,0
31822,68912,701,0.0965,17,0,0
2589,13793,581,0.2214,4,0,0
7591,10000,528,0.5586,4,0,0
6866,13337,631,0.2136,3,0,0
6317,11604,556,0.4699,2,0,0
2564,10000,616,0.18,5,0,0
8154,10000,564,0.1549,5,0,0
16716,35591,570,0.3035,3,0,0
1294,16175,604,0.0433,4,0,0
2269,12801,617,0.2628,5,0,0
13601,15661,536,0.1266,3,0,0
33630,46404,495,0.2554,4,0,0
6107,17827,542,0.0472,5,1,1
8602,10789,639,0.3252,5,0,0
15123,24802,622,0.3473,11,0,0
1963,10000,568,0.3827,2,0,1
2512,10000,675,0.3703,3,0,0
12720,25364,495,0.3509,6,0,1
11127,32720,639,0.1762,3,0,0
3193,20158,559,0.27,2,0,1
1019,10000,519,0.4831,7,0,0
32907,27832,638,0.2897,6,2,1
21726,17922,536,0.1568,4,0,0
795,11753,635,0.4105,4,2,1
1632,17167,675,0.1547,6,0,0
14179,30700,651,0.5892,4,1,0
1266,11851,666,0.3781,5,0,0
1658,14735,631,0.0682,6,0,0
12091,19365,592,0.141,3,0,0
5294,10960,652,0.4923,5,0,0
11951,10000,568,0.4311,5,0,0
5163,13654,561,0.2217,5,0,0
2117,16029,664,0.6351,4,0,0
22634,19998,630,0.3862,5,0,0
4745,10000,534,0.1978,3,0,0
10411,10000,544,0.078,2,0,0
10365,10000,572,0.5504,3,0,1
15942,46880,725,0.3595,5,0,0
2969,10000,562,0.5124,1,0,1
21882,131103,760,0.4078,9,0,0
80662,54232,608,0.1463,2,0,0
12639,69575,656,0.3787,0,0,0
3708,18381,462,0.2585,8,0,1
4512,10000,547,0.4016,5,0,0
4656,32532,676,0.3509,4,0,0
76474,11660,582,0.1267,4,0,1
16026,21938,583,0.1577,2,0,0
19743,12744,549,0.4106,4,0,0
26401,29596,712,0.2942,6,0,0
2839,10000,583,0.1028,6,0,0
1765,17314,581,0.2668,2,0,0
2678,10000,608,0.5833,1,0,0
4544,17186,689,0.1982,3,0,0
15317,10724,687,0.462,7,0,0
73586,151004,629,0.1265,8,0,0
12068,41458,639,0.2243,3,0,0
2038,10000,601,0.0263,9,0,0
1972,13089,606,0.2575,5,0,0
6615,26607,628,0.2205,3,0,0
10538,12121,593,0.3299,3,0,0
27260,25278,585,0.0265,3,0,0
2269,10000,633,0.1063,3,0,0
83031,10000,664,0.5579,7,0,1
4866,13755,699,0.3132,5,0,0
928,10000,505,0.2991,3,0,1
5833,10000,625,0.368,4,0,0
2902,21106,612,0.1915,1,0,0
948,10000,601,0.3467,5,0,0
5888,10000,594,0.3283,6,0,0
13769,20979,600,0.2292,2,1,0
19417,29651,665,0.44,5,0,0
39979,49262,732,0.3375,4,0,0
8745,10000,636,0.2001,5,0,0
6217,17851,705,0.5462,4,0,0
12417,18332,640,0.2883,4,0,0
3632,46992,593,0.1584,3,0,0
1758,10000,533,0.1895,9,0,0
25666,26535,574,0.2936,7,0,0
820,11900,608,0.397,2,0,0
4907,10541,605,0.7408,3,0,0
4587,10000,610,0.2053,6,0,0
5803,41167,715,0.4411,5,0,0
5586,10000,593,0.4416,6,0,1
7883,16078,656,0.257,3,0,0
3929,11834,669,0.1741,4,0,0
3361,11731,539,0.2452,6,0,0
33456,46425,541,0.4684,7,0,0
18847,10000,558,0.1264,4,0,1
14132,14651,655,0.4898,3,0,0
1299,15335,663,0.721,5,0,0
9229,32230,636,0.3043,8,0,0
565,14168,610,0.2848,13,0,0
1449,10000,638,0.4342,2,0,0
15721,10267,629,0.1452,3,0,0
26780,17724,625,0.2706,9,0,0
1780,13260,627,0.6537,4,0,0
12058,11073,595,0.4357,4,0,0
11261,10000,595,0.1723,6,0,0
10782,74211,694,0.0381,3,0,0
2529,10000,615,0.1686,6,0,0
2081,10000,617,0.3509,5,0,0
3372,10000,616,0.5172,4,1,0
492,10000,638,0.595,1,0,0
2967,10000,672,0.1155,4,0,0
8525,10000,716,0.1945,7,0,0
13463,20456,538,0.0745,4,0,0
38286,25741,570,0.2218,5,1,1
28024,42347,598,0.1942,7,0,0
9130,10000,565,0.4892,5,0,0
3777,10000,620,0.1844,3,0,0
7764,11778,587,0.1661,5,0,0
913,12228,694,0.1274,3,0,0
19165,10000,671,0.4152,5,0,1
2239,10000,587,0.3163,4,0,0
3642,10000,529,0.4334,3,0,0
6540,14745,585,0.481,3,0,0
5484,11491,656,0.1619,3,0,0
14450,10000,600,0.4809,4,0,0
4419,10000,561,0.2518,4,0,0
37349,61269,636,0.7094,3,0,1
12616,28597,586,0.6997,7,0,1
20318,16892,572,0.1185,2,0,0
2738,26055,674,0.1563,2,0,0
2850,22013,609,0.471,9,0,0
1654,18198,589,0.1602,10,0,1
1938,20156,645,0.3743,4,0,0
11083,25560,654,0.1629,2,0,0
1066,10000,621,0.5041,6,0,0
1795,10000,531,0.5303,8,0,0
15622,10000,528,0.3691,3,2,1
26973,14031,692,0.2741,6,0,0
905,10000,577,0.2355,2,0,0
7830,10000,627,0.2839,3,0,0
52930,16125,632,0.1102,1,0,1
13744,10000,699,0.3456,4,0,0
105101,72374,673,0.0541,2,0,0
1607,10000,637,0.3553,5,0,0
1327,10000,624,0.0336,4,0,0
7275,10000,607,0.0914,3,0,0
3625,10000,574,0.1461,3,0,0
2371,12847,565,0.4393,1,0,0
3500,11309,627,0.3844,5,0,0
1776,10000,578,0.6401,5,0,0
38801,17859,613,0.3217,3,0,1
1836,10000,582,0.1567,6,0,0
17887,96487,670,0.3972,4,0,0
13156,17072,675,0.4034,4,0,0
60334,16072,655,0.3347,12,0,1
3302,51068,619,0.2462,2,0,0
8289,62142,619,0.4438,4,0,0
10360,10081,579,0.2166,2,0,0
2147,10000,586,0.169,3,0,0
7176,39871,574,0.2724,11,0,0
1022,14596,562,0.3623,8,0,0
3703,20233,665,0.2794,10,0,0
37946,50387,712,0.196,4,0,0
4383,10000,691,0.255,4,0,0
4962,10000,529,0.3837,4,0,0
2676,10000,596,0.4019,5,0,0
932,10000,592,0.2313,2,0,0
16140,49686,676,0.3056,4,0,0
12083,66876,689,0.3491,6,0,0
8065,10000,594,0.1499,4,0,0
2394,19076,531,0.1284,8,0,0
7429,27669,717,0.4509,6,0,0
1142,10921,551,0.4643,4,0,0
9980,10000,566,0.1787,2,2,1
3029,13359,607,0.3844,16,0,0
7106,10000,650,0.3581,2,0,0
34495,10000,614,0.2439,0,0,1
7564,33233,631,0.2223,4,0,0
9532,23274,531,0.1348,2,1,0
3860,11661,534,0.1187,5,0,1
64885,47671,706,0.0791,3,1,0
3666,10000,622,0.7196,2,0,0
2299,10000,603,0.2496,4,0,0
10335,10000,554,0.455,2,0,1
755,10000,652,0.321,5,0,0
1705,10000,580,0.2991,6,0,0
7696,10000,573,0.1808,3,0,0
1632,10000,575,0.3306,6,0,0
3921,15558,681,0.0895,4,0,0
20307,10000,671,0.2432,8,0,1
20001,31818,652,0.1198,11,0,0
2602,10000,592,0.6247,4,0,0
5194,10000,591,0.4488,8,0,0
11837,10000,607,0.139,1,0,0
2123,10000,507,0.5645,5,0,0
70758,55078,628,0.5818,6,0,0
12684,16324,623,0.3774,2,0,0
277,10000,564,0.3904,3,0,1
45938,49302,625,0.2163,7,0,0
4231,10000,610,0.6592,8,0,0
6222,34419,585,0.569,9,0,0
3952,19135,572,0.5684,4,0,0
2325,23467,630,0.4191,7,0,0
1840,10000,618,0.1695,1,0,0
1499,15534,621,0.1541,4,0,0
15180,10000,659,0.1666,2,0,0
7667,41321,556,0.328,5,0,0
4380,12634,624,0.1649,6,0,0
7631,14403,562,0.2867,5,0,0
17019,14290,597,0.4857,3,0,0
2651,10000,663,0.4048,4,0,0
2998,10000,538,0.4739,3,0,0
13008,10000,656,0.2185,4,0,0
13561,10000,590,0.3052,1,0,0
640,10000,652,0.2572,7,0,0
4153,13500,589,0.6173,4,0,0
5682,56725,660,0.0854,2,0,0
4695,12355,593,0.5832,4,0,0
1305,10000,599,0.2989,4,0,0
2843,10000,595,0.1201,3,0,0
38630,41779,690,0.182,2,0,0
5434,10000,603,0.2735,4,0,1
3597,10000,651,0.3796,4,0,0
2242,10878,565,0.2806,5,0,0
31338,181026,634,0.2069,1,0,0
7811,70944,664,0.208,5,0,0
4493,10000,644,0.229,4,0,0
22128,10000,667,0.2215,7,0,1
1199,10000,616,0.3356,6,0,0
36071,126654,596,0.0789,4,0,0
6280,18500,600,0.3271,8,0,0
2754,13878,642,0.5,5,0,0
7739,17301,630,0.347,7,0,0
643,10000,550,0.453,5,0,0
3480,19140,672,0.5637,13,0,0
10784,54686,714,0.0972,3,0,0
8082,14151,572,0.3103,10,0,0
52336,71359,681,0.1639,5,0,0
2022,10000,615,0.3126,3,0,0
4892,10000,653,0.1289,2,0,0
3240,26529,611,0.3277,6,0,0
1847,10000,529,0.3486,4,0,0
9117,13162,598,0.1754,4,0,0
5580,33195,597,0.2501,7,2,0
31001,93682,737,0.163,0,0,0
61302,10000,531,0.2632,8,0,1
4782,20139,613,0.4294,4,0,0
6082,10000,584,0.5303,2,0,1
124083,13432,543,0.336,6,0,1
14020,75966,571,0.4638,6,0,0
12744,10000,716,0.3557,4,0,0
13999,10000,554,0.1795,5,0,0
7585,26952,673,0.3345,3,0,0
1632,11233,664,0.6538,4,0,0
9411,10000,479,0.3766,1,0,0
2503,13637,614,0.3865,2,0,0
420,10000,536,0.1081,10,0,0
85869,55092,724,0.4276,2,0,0
1330,33279,690,0.4137,4,0,0
10835,29192,546,0.0373,4,0,0
3834,28226,664,0.2753,11,0,1
45162,18852,611,0.2137,6,0,0
25922,10000,605,0.6943,1,2,1
49452,26613,566,0.5125,3,0,0
1556,10000,603,0.4146,5,0,0
10554,25887,615,0.4892,7,0,0
4331,10000,552,0.3768,8,0,0
8229,127779,604,0.4461,5,0,0
2473,10000,609,0.6601,6,0,0
6053,10000,641,0.189,1,0,0
5778,19758,619,0.1188,13,0,0
25909,10000,582,0.2638,1,0,1
30843,10000,562,0.3482,2,0,1
5937,10000,495,0.4477,2,0,0
7097,11468,607,0.2599,6,0,0
10185,10000,599,0.2158,7,0,1
17712,34115,526,0.1275,6,0,1
6177,45890,613,0.1634,3,0,0
3413,10000,606,0.5195,3,0,0
6326,19423,709,0.2805,3,0,0
10239,21447,671,0.1662,7,0,0
12741,16733,654,0.056,6,0,0
1976,10000,638,0.6614,2,0,0
32548,38372,655,0.3007,0,0,0
56715,59108,603,0.1104,5,0,0
12350,10000,672,0.1987,4,0,0
13072,13548,624,0.7173,3,0,0
489877,27518,667,0.0808,3,0,1
7345,59500,615,0.3857,7,0,0
7117,38542,653,0.2164,2,0,0
1033,10000,492,0.3576,3,0,1
5610,23766,731,0.5731,4,0,0
14992,28021,635,0.1893,7,0,0
7722,10530,580,0.5142,5,0,0
20631,80187,720,0.2815,2,2,0
2364,10000,512,0.1842,4,0,0
174970,33361,632,0.304,3,1,1
1276,10000,563,0.2722,4,1,1
11346,10000,684,0.3327,4,0,0
44321,55177,610,0.1287,2,0,0
2419,10000,600,0.3304,4,0,0
4363,10000,585,0.408,13,0,0
8254,40831,700,0.1986,10,2,0
270549,10000,554,0.1727,4,0,1
8771,28458,544,0.4575,8,0,0
4298,10000,653,0.5192,10,0,0
2775273,119927,680,0.2112,1,0,1
12515,16761,570,0.1423,4,0,0
10808,12068,606,0.0508,7,0,0
5564,10000,596,0.4951,4,0,0
4279,10000,611,0.1875,2,0,0
7930,38461,696,0.4083,1,0,0
1062,10000,566,0.3402,1,0,0
90526,56299,677,0.5227,1,0,0
18681,10000,658,0.157,14,0,0
966,10000,492,0.2013,1,0,0
512,10000,662,0.4644,4,0,0
6297,25184,666,0.2761,3,0,0
636,10000,639,0.2497,2,0,0
12640,10000,645,0.2359,3,0,0
6031,10000,648,0.3958,6,0,0
2292,32734,658,0.308,2,0,0
